"","time","S","E","I","R"
"1",1,125049945,50,5,0
"2",1.01,125038141.288938,49.7060023664425,5.14093915361091,0.147186719522119
"3",1.02,125026338.758134,49.4137341246868,5.28076031375313,0.293748578425479
"4",1.03,125014537.407524,49.1231851809141,5.41947049645665,0.439688766665796
"5",1.04,125002737.237005,48.8343466802711,5.55707585255186,0.585010086393859
"6",1.05,124990938.246439,48.5472068753121,5.69358454135533,0.72971625587197
"7",1.06,124979140.435713,48.2617561945885,5.82900320968816,0.873810305684751
"8",1.07,124967343.804709,47.977984701682,5.96333875712012,1.01729538263441
"9",1.08,124955548.35331,47.6958825148883,6.09659804445086,1.16017461692442
"10",1.09,124943754.081396,47.4154398187668,6.2287878855313,1.3024511186515
"11",1.1,124931960.988851,47.1366468507424,6.35991505675808,1.44412798186905
"12",1.11,124920169.075556,46.8594939056734,6.48998629383855,1.58520828320023
"13",1.12,124908378.341393,46.5839713359143,6.61900829174732,1.7256950818174
"14",1.13,124896588.786245,46.3100695505839,6.7469877052465,1.86559141966309
"15",1.14,124884800.409994,46.0377790152003,6.87393114914543,2.00490032155924
"16",1.15,124873013.212521,45.7670902513737,6.99984519852003,2.1436247952994
"17",1.16,124861227.193709,45.4979938364804,7.12473638894479,2.28176783174631
"18",1.17,124849442.35344,45.2304804033237,7.24861121673444,2.41933240493348
"19",1.18,124837658.691596,44.9645406398104,7.37147613917457,2.55632147216223
"20",1.19,124825876.20806,44.7001652886266,7.4933375747524,2.69273797409867
"21",1.2,124814094.902713,44.4373451469162,7.61420190338634,2.8285848348703
"22",1.21,124802314.775437,44.1760710659596,7.73407546665428,2.96386496216198
"23",1.22,124790535.826115,43.9163339508562,7.85296456802052,3.09858124731138
"24",1.23,124778758.05463,43.6581247602069,7.97087547306132,3.23273656540387
"25",1.24,124766981.460862,43.4014345058001,8.08781440968917,3.36633377536681
"26",1.25,124755206.044696,43.1462542522983,8.20378756837577,3.49937572006335
"27",1.26,124743431.806012,42.8925751169274,8.31880110237351,3.63186522638563
"28",1.27,124731658.744693,42.6403882691675,8.43286112793591,3.76380510534744
"29",1.28,124719886.860621,42.3896849304451,8.54597372453658,3.89519815217639
"30",1.29,124708116.153679,42.140456373828,8.65814493508696,4.02604714640546
"31",1.3,124696346.623748,41.8926939237211,8.76938076615275,4.15635485196409
"32",1.31,124684578.270712,41.6463889555648,8.87968718816908,4.28612401726867
"33",1.32,124672811.094452,41.4015328955345,8.98907013565437,4.41535737531254
"34",1.33,124661045.094851,41.1581172202423,9.09753550742303,4.54405764375546
"35",1.34,124649280.271792,40.9161334564401,9.20508916679677,4.67222752501254
"36",1.35,124637516.625155,40.6755731807248,9.3117369418148,4.79986970634264
"37",1.36,124625754.154825,40.4364280192453,9.41748462544267,4.92698685993632
"38",1.37,124613992.860683,40.1986896474104,9.52233797577999,5.05358164300317
"39",1.38,124602232.742611,39.9623497895997,9.62630271626682,5.1796566978587
"40",1.39,124590473.800493,39.7274002188749,9.72938453588893,5.30521465201074
"41",1.4,124578716.03421,39.493832756694,9.83158908938181,5.43025811824523
